n711000100000000,澎湖縣 馬公市
n711000200000000,澎湖縣 湖西鄉
n711000300000000,澎湖縣 白沙鄉
n711000400000000,澎湖縣 西嶼鄉
n711000500000000,澎湖縣 望安鄉
n711000600000000,澎湖縣 七美鄉
n712000000000000,基隆市
n712000100000000,基隆市 中正區
n712000200000000,基隆市 信義區
n712000300000000,基隆市 仁愛區
n712000400000000,基隆市 中山區
n712000500000000,基隆市 安樂區
n712000600000000,基隆市 暖暖區
n712000700000000,基隆市 七堵區
n713000000000000,新竹市
n713000100000000,新竹市 東區
n713000200000000,新竹市 北區
n713000300000000,新竹市 香山區
n714000000000000,嘉義市
n714000100000000,嘉義市 東區
n714000200000000,嘉義市 西區
n801000000000000,金門縣
n801000100000000,金門縣 金城鎮
n801000200000000,金門縣 金寧鄉
n801000300000000,金門縣 烈嶼鄉
n801000400000000,金門縣 烏坵鄉
n801000500000000,金門縣 金湖鎮
n801000600000000,金門縣 金沙鎮
n802000000000000,連江縣
n802000100000000,連江縣 南竿鄉
n802000200000000,連江縣 北竿鄉
n802000300000000,連江縣 莒光鄉
n802000400000000,連江縣 東引鄉
